ERROR - Sat, 31 Aug 2019 23:55:07 -0700: markdown is not available.
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Tab: For Parents and Youth
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: tab node: search
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Array Tools Library Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for media_type -> book
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for tags -> parents
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Audio Library Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Page Metadata Library Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Lexicon Auxiliary Library Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Libraries Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: LoremPixel Library Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Helper loaded: galleriaHelper
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Fetch HTML Library Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Wordpress XML-RPC Library Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: arraytools library already loaded. Second attempt ignored.
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: XML-RPC Library Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Wordpress REST Library Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: JSON Library 1.0.2b Loaded
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Extension loaded: 
REQUESTED: - Sat, 31 Aug 2019 23:55:07 -0700: 
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: looking metadata for /
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Helper loaded: arrayHelper
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Helper loaded: fileHelper
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Begin extract tabbed content
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: number of tabs: 4
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Tab: Our Gurus
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: tab node: search
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for media_type -> book
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for tags -> our satgurus
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: results: 21
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: tab node: search
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for media_type -> book
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for tags -> teen
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: results: 1
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: tab node: search
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for media_type -> book
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for title -> saivite hindu religion
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: results: 20
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Tab: For Teachers
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: tab node: search
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for media_type -> book
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for title -> history
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: results: 4
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Tab: Childrens Books
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: tab node: search
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for media_type -> book
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: search for tags -> children
